2022-10-31 14:31:50,307 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/inaugural-ics-summer-academy-on-data-analytics-now-accepting-applications, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:31:50,846 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/dr-joni-ricks-oddie-applies-data-driven-lens-in-run-for-long-beach-city-council, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:31:51,385 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/applications-open-for-new-uci-summer-biostatistics-institute-for-undergraduate-students, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:31:51,929 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/ics-graduate-programs-in-statistics-and-computer-science-among-top-20-for-public-universities, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:31:52,470 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/mds-student-ty-shao-aims-to-make-an-impact-in-healthcare, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:31:53,005 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/culture-of-collaboration-leads-to-cutting-edge-work-in-ai, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:31:53,546 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/uci-news-ucis-graduate-programs-shine-in-u-s-news-world-report-rankings, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:31:54,080 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/uci-deep-learning-researchers-advance-theory-and-practice-of-data-compression, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:31:54,617 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/uci-news-uci-researchers-receive-state-funding-to-study-pandemic-forecasting, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:31:55,151 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/university-of-california-health-and-cdph-covid-modeling-consortium-awards-grant-funding-to-further-covid-19-data-research, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:31:55,686 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/womens-history-month-resources-for-empowering-women-in-tech, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:31:56,245 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/statistics-ph-d-student-isaac-goldstein-receives-la-verne-noyes-fellowship, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:31:56,778 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/uci-announces-launch-of-institute-for-precision-health, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:31:57,314 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/black-history-month-sharing-resources-to-expand-diversity-in-tech, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:31:57,866 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/4-ics-professors-among-7-uci-researchers-named-aaas-fellows, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:31:58,406 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/xu-receives-slds-student-paper-award, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:31:58,938 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/tech-trends-for-2022, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:31:59,480 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/graduate-student-spotlight-mds-ambassador-adelynn-paik-shares-her-academic-professional-goals, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:00,017 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/disney-research-supports-stephan-mandts-work-on-generative-modeling-with-50000-gift, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:00,554 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/beyond-the-t-test-uci-professors-publish-new-statistical-guidance-for-neuroscience-research, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:01,090 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/statistics-ph-d-student-tianyu-pan-wins-two-competitive-awards, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:01,625 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/elizabeth-lee-wins-data-science-for-social-good-award, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:02,164 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/stephan-mandt-and-collaborators-receive-3-5-million-to-study-machine-learning-for-climate-science, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:02,708 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/harnessing-the-data-revolution-ics-researchers-and-collaborators-receive-1-5m-data-science-grant, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:03,250 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/lifetime-achievement-and-dinsdale-awards-double-the-accolades-for-professor-emerita-jessica-utts, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:03,788 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/uci-news-uci-led-study-finds-disparities-in-o-c-rates-of-covid-19-infection-mortality-vladimir-minin-mentioned, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:04,342 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/from-theory-to-practice-ucis-machine-learning-hackathon-delivers, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:04,887 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/choc-teams-up-with-uci-to-offer-pediatric-capstone-project-in-data-science, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:05,440 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/mine-dogucu-receives-young-investigator-award, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:05,978 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/qu-appointed-ims-program-secretary, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:06,521 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/the-resilience-of-the-class-of-2021, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:07,057 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/capstone-program-showcases-growing-talent-of-ics-students, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:07,603 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/a-bold-decision-to-study-abroad-in-high-school-led-sirui-hu-to-uci-and-beyond-data-science-major, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:08,146 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/teach-access-recognizes-mine-dogucu-as-curriculum-development-awardee, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:08,680 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/uci-news-efforts-to-treat-covid-19-patients-chronicled-in-uc-health-medications-data-bin-nan-mentioned, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:09,214 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/exploring-and-strengthening-sports-stats-at-uci, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:09,750 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/uci-news-hal-s-stern-is-named-uci-provost-and-executive-vice-chancellor, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:10,285 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/three-ics-students-receive-2021-nsf-graduate-research-fellowships, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:10,822 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/amstat-news-celebrating-women-in-statistics-2021-annie-qu-mentioned, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:11,366 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/a-look-at-health-and-technology-trends-for-2021-and-beyond, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:11,913 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/uci-launches-new-professional-program-master-of-data-science, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:12,454 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/a-campus-gem-ucis-statistical-consulting-services, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:12,991 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/orange-county-business-journal-uci-forecasts-covid-19-trends-in-oc, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:13,526 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/kuci-office-hours-podcast-keeping-up-with-coronavirus-statistics-vladimir-minin-interviewed, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:14,064 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/uci-statisticians-release-new-online-orange-county-covid-19-information-resource, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:14,602 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/ics-statistics-researchers-release-new-online-oc-covid-situation-report, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:15,139 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/orange-county-business-journal-uci-releases-covid-19-website, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:15,674 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/yahoo-news-data-glitch-confounds-coronavirus-totals-in-orange-county-state-vladimir-minin-quoted, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:16,210 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/uci-news-uci-researchers-launch-first-of-its-kind-coronavirus-statistics-portal, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:16,747 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/professor-annie-qu-works-to-enhance-the-detection-of-invasive-cancers-using-medical-imaging-data, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:17,318 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/hal-stern-selected-as-a-fellow-of-the-international-society-of-bayesian-analysis, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:17,852 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/uci-news-national-institute-awards-20-million-in-renewed-funding-to-forensic-science-center, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:18,386 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/michelle-nuno-selected-to-participate-in-the-70th-lindau-nobel-laureate-meeting, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:18,920 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/uci-mind-alzheimers-disease-clinical-trials-and-covid-19-with-dr-daniel-gillen, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:19,453 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/uci-brain-researcher-spotlight-dr-babak-shahbaba, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:19,987 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/nsf-announces-2020-graduate-research-fellows, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:20,521 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/amstat-news-celebrating-rising-undergraduate-women-in-statistics-and-data-science, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:21,055 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/statistics-ph-d-student-mary-ryan-receives-public-impact-fellowship, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:21,593 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/professor-berrocal-elected-chair-of-the-section-in-environmental-sciences-of-the-isba, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:22,129 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/staff-spotlight-rosemary-bustas-journey-from-chemistry-to-statistics-to-scotland-and-beyond, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:22,664 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/kpcc-vexed-by-college-statistics-courses-new-approaches-emphasize-practical-learning-jessica-utts-interviewed, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:23,198 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/laist-socal-professors-push-to-make-college-level-statistics-less-painful-jessica-utts-quoted, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:23,732 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/ics-welcomes-8-new-faculty-for-2019, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:24,277 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/senior-spotlight-taneisha-arora-pursues-her-passions-from-working-in-industry-to-running-a-bakery, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:24,825 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/statistics-professors-shahbaba-and-minin-help-develop-framework-to-investigate-complex-biological-systems, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:25,360 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/hal-stern-appointed-vice-provost-for-academic-planning, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:25,893 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/professor-nan-awarded-nsf-grant-to-improve-statistical-inference, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:26,427 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/renewed-funding-lets-hal-stern-continue-research-of-early-life-adversity-brain-development-with-the-uci-conte-center, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:26,965 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/conference-honors-statistics-professor-emeritus-wesley-johnson, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:27,501 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/ics-students-win-best-web-app-at-hacksc, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:28,044 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/professor-guindani-named-fellow-of-the-american-statistical-association, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:28,589 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/center-for-statistical-consulting-a-one-stop-shop-for-data-analysis, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:29,128 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/statistics-ph-d-students-awarded-nsf-graduate-research-fellowships, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:29,665 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/new-data-science-scholarship-to-promote-social-good, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:30,203 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/professor-shens-collaborations-exemplify-the-significance-of-statistics, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:30,738 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/trio-of-ics-professors-preview-tech-trends-for-2019, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:31,280 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/statistics-ph-d-alumnus-andrew-holbrook-18-named-a-finalist-for-the-savage-award, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:31,824 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/multidepartmental-collaboration-on-detecting-code-clones-leads-to-distinguished-paper-award, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:32,360 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/senior-spotlight-james-purpura-goes-from-watching-moneyball-to-earning-data-science-degree, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:32,898 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/knowable-magazine-when-courtroom-science-goes-wrong-and-how-stats-can-fix-it-hal-stern-featured, status <200>, using cache ('styx.ics.uci.edu', 9010).
2022-10-31 14:32:33,431 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/olivia-bernstein-named-outstanding-ta-in-statistics, status <200>, using cache ('styx.ics.uci.edu', 9010).
